[2023/02/06 11:49:02]Information:  Creating hosting services. [Program.cs > Main() > Line 39] System.Exception: Exception test
[2023/02/06 11:49:16]Warning:  Logging Service
[2023/02/06 11:49:22]Error:  Logging a message by Krumon.
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
[2023/02/06 11:49:25]Information:  Hello World!
